"","Matricula","NC","C"
"1","01-000-0257","0","1"
"2","03-003-0407","0","1"
"3","04-003-1244","0","1"
"4","04-003-1658","0","1"
"5","05-006-2868","0","1"
"6","06-003-0645","0","1"
"7","06-003-0950","0","1"
"8","06-008-0017","0","1"
"9","07-009-0003","1","0"
"10","07-010-0012","0","1"
"11","07-011-0523","0","1"
"12","07-011-0539","1","0"
"13","07-011-0906","0","1"
"14","08-001-0054","0","1"
"15","08-003-0842","0","1"
"16","08-003-1348","0","1"
"17","08-003-1370","0","1"
"18","08-007-0002","0","1"
"19","08-011-0043","0","1"
"20","08-011-0116","0","1"
"21","08-011-0632","0","1"
"22","08-011-1022","0","1"
"23","08-011-1036","1","1"
"24","09-002-0168","1","1"
"25","09-002-0244","0","1"
"26","09-003-0062","0","1"
"27","09-003-0695","0","1"
"28","09-011-0034","0","1"
"29","09-011-0587","0","1"
"30","09-011-0626","0","1"
"31","10-002-0044","0","1"
"32","10-003-0139","0","1"
"33","10-011-0116","1","0"
"34","10-011-0375","0","1"
"35","11-002-0078","0","1"
"36","11-003-0102","0","1"
"37","11-004-0109","1","1"
"38","11-011-0566","0","1"
"39","12-001-0208","0","1"
"40","12-011-0037","0","1"
"41","12-011-0399","0","1"
"42","12-011-0905","0","1"
"43","12-011-0957","0","1"
"44","13-004-0154","1","1"
"45","13-010-0025","0","1"
"46","14-011-0394","0","1"
"47","16-003-1337","0","1"
"48","18-011-0027","1","0"
"49","18-011-0185","0","1"
