"","Matricula","NC","C"
"1","01-000-0257","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","0","1"
"4","02-002-0344","0","1"
"5","03-003-0407","1","1"
"6","04-003-1244","1","1"
"7","04-003-1658","1","1"
"8","05-003-2071","0","1"
"9","05-006-2868","0","1"
"10","06-003-0645","1","1"
"11","06-003-0950","1","1"
"12","07-009-0003","1","0"
"13","07-010-0012","0","1"
"14","07-011-0523","1","1"
"15","07-011-0539","1","0"
"16","07-011-0906","1","1"
"17","08-001-0054","0","1"
"18","08-002-0082","1","0"
"19","08-003-0842","0","1"
"20","08-003-1348","0","1"
"21","08-003-1370","0","1"
"22","08-007-0002","1","1"
"23","08-011-0043","0","1"
"24","08-011-0116","0","1"
"25","08-011-0632","0","1"
"26","08-011-0928","2","0"
"27","08-011-1022","1","1"
"28","08-011-1036","0","1"
"29","09-002-0168","1","1"
"30","09-002-0244","1","1"
"31","09-003-0062","0","1"
"32","09-003-0695","0","1"
"33","09-008-0005","0","1"
"34","09-011-0034","0","1"
"35","09-011-0626","0","1"
"36","10-002-0044","0","1"
"37","10-003-0139","0","1"
"38","10-009-0025","0","1"
"39","10-011-0375","0","1"
"40","11-002-0078","1","1"
"41","11-003-0102","0","1"
"42","11-004-0109","0","1"
"43","11-011-0566","0","1"
"44","12-001-0208","0","1"
"45","12-011-0037","0","1"
"46","12-011-0399","0","1"
"47","12-011-0905","0","1"
"48","12-011-0957","0","1"
"49","13-004-0154","1","1"
"50","14-011-0394","0","1"
"51","18-011-0185","1","0"
