"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","1","1"
"4","03-003-0219","0","1"
"5","04-003-1135","0","1"
"6","04-003-1244","1","0"
"7","04-003-1529","0","1"
"8","04-003-1658","0","1"
"9","05-002-0012","2","0"
"10","05-003-2071","0","1"
"11","05-003-3233","0","1"
"12","05-005-2853","0","1"
"13","05-005-2855","2","1"
"14","05-005-2856","0","1"
"15","05-005-2858","0","1"
"16","05-005-3325","1","1"
"17","05-005-3346","0","1"
"18","05-005-3348","1","0"
"19","05-005-3388","0","1"
"20","05-005-3389","0","1"
"21","05-005-3390","2","0"
"22","05-006-2843","0","1"
"23","05-006-2850","0","1"
"24","05-006-2852","0","1"
"25","05-006-2860","0","1"
"26","05-006-3355","0","1"
"27","05-006-3358","0","1"
"28","05-006-3359","0","1"
"29","05-006-3375","0","1"
"30","05-007-0001","1","1"
"31","05-007-0010","0","1"
"32","05-007-0018","0","1"
"33","05-008-0002","0","1"
"34","05-008-0005","0","1"
"35","05-008-0010","0","1"
"36","05-008-0011","1","0"
"37","05-008-0013","0","1"
"38","05-008-0015","0","1"
"39","05-009-0001","0","1"
"40","05-009-0005","1","0"
"41","05-009-0006","3","1"
"42","05-009-0007","0","1"
"43","05-009-0011","4","1"
"44","05-009-0013","0","1"
"45","05-009-0014","0","1"
"46","05-009-0017","0","1"
"47","05-009-0018","0","1"
"48","05-009-0019","0","1"
"49","05-009-0021","0","1"
"50","06-003-0950","0","1"
"51","06-003-2649","0","1"
"52","06-005-0004","0","1"
"53","06-005-0006","0","1"
"54","06-006-0003","0","1"
"55","06-008-0003","0","1"
"56","06-008-0004","0","1"
"57","06-008-0006","0","1"
"58","06-008-0011","0","1"
"59","06-008-0015","0","1"
"60","07-006-0001","0","1"
"61","07-006-0004","0","1"
"62","07-006-0005","0","1"
"63","07-006-0006","0","1"
"64","07-006-0007","0","1"
"65","07-008-0001","0","1"
"66","07-008-0003","0","1"
"67","07-008-0014","0","1"
"68","07-008-0015","0","1"
"69","07-009-0001","1","0"
"70","07-009-0003","0","1"
"71","07-010-0003","1","0"
"72","07-010-0008","1","1"
"73","07-010-0009","1","1"
"74","07-010-0011","1","0"
"75","07-010-0016","0","1"
"76","07-010-0018","0","1"
"77","07-010-0019","0","1"
"78","07-010-0021","0","1"
"79","07-010-0022","0","1"
"80","07-010-0023","1","1"
"81","07-011-0085","0","1"
"82","07-011-0523","0","1"
"83","07-011-0539","0","1"
"84","07-011-0662","0","1"
"85","07-011-0906","0","1"
"86","07-011-0923","0","1"
"87","08-003-0842","0","1"
"88","08-005-0013","0","1"
"89","08-006-0001","0","1"
"90","08-006-0006","0","1"
"91","08-006-0007","1","1"
"92","08-006-0009","0","1"
"93","08-006-0011","0","1"
"94","08-008-0002","0","1"
"95","08-008-0003","0","1"
"96","08-008-0006","0","1"
"97","08-008-0008","0","1"
"98","08-008-0010","2","0"
"99","08-008-0014","0","1"
"100","08-009-0001","0","1"
"101","08-009-0002","1","0"
"102","08-009-0004","2","1"
"103","08-009-0011","0","1"
"104","08-009-0016","3","1"
"105","08-009-0017","0","1"
"106","08-009-0018","1","0"
"107","08-009-0020","0","1"
"108","08-009-0025","1","1"
"109","08-011-0062","0","1"
"110","08-011-0532","0","1"
"111","08-011-0908","0","1"
"112","09-001-0077","0","1"
"113","09-002-0168","0","1"
"114","09-003-0062","0","1"
"115","09-005-0003","0","1"
"116","09-006-0001","0","1"
"117","09-006-0002","1","1"
"118","09-007-0001","0","1"
"119","09-008-0005","1","1"
"120","09-008-0007","1","1"
"121","09-008-0008","0","1"
"122","09-008-0011","1","1"
"123","09-008-0012","1","1"
"124","09-008-0017","1","0"
"125","09-008-0020","0","1"
"126","09-008-0021","0","1"
"127","09-008-0027","2","0"
"128","09-010-0001","0","1"
"129","09-010-0005","0","1"
"130","09-010-0009","0","1"
"131","09-010-0011","1","0"
"132","09-010-0013","0","1"
"133","09-010-0021","2","0"
"134","09-010-0026","1","1"
"135","09-010-0028","0","1"
"136","09-011-0034","1","1"
"137","09-011-0242","1","0"
"138","09-011-0587","0","1"
"139","09-011-0627","0","1"
"140","10-002-0044","0","1"
"141","10-003-0424","2","0"
"142","10-003-0840","0","1"
"143","10-003-1048","1","0"
"144","10-003-1164","0","1"
"145","10-003-1374","0","1"
"146","10-005-0001","0","1"
"147","10-005-0002","0","1"
"148","10-005-0003","1","0"
"149","10-005-0005","0","1"
"150","10-005-0008","0","1"
"151","10-005-0013","0","1"
"152","10-005-0019","2","0"
"153","10-005-0020","0","1"
"154","10-005-0021","0","1"
"155","10-008-0001","0","1"
"156","10-008-0003","0","1"
"157","10-008-0008","2","0"
"158","10-008-0010","0","1"
"159","10-008-0015","1","1"
"160","10-008-0020","0","1"
"161","10-008-0021","0","1"
"162","10-008-0025","0","1"
"163","10-008-0033","1","1"
"164","10-008-0034","1","0"
"165","10-008-0035","1","0"
"166","10-009-0010","1","1"
"167","10-009-0014","1","1"
"168","10-009-0019","1","1"
"169","10-009-0025","0","1"
"170","10-009-0029","1","0"
"171","10-009-0030","1","1"
"172","10-009-0032","0","1"
"173","10-010-0003","0","1"
"174","10-011-0116","1","1"
"175","10-011-0270","0","1"
"176","10-011-0301","0","1"
"177","10-011-0316","0","1"
"178","10-011-0350","0","1"
"179","10-011-0531","0","1"
"180","10-011-0570","0","1"
"181","11-001-0089","1","1"
"182","11-002-0199","0","1"
"183","11-002-0342","1","1"
"184","11-003-1070","0","1"
"185","11-004-0099","0","1"
"186","11-005-0002","0","1"
"187","11-005-0003","0","1"
"188","11-005-0004","2","0"
"189","11-005-0012","0","1"
"190","11-006-0001","1","1"
"191","11-007-0004","0","1"
"192","11-007-0005","0","1"
"193","11-008-0003","0","1"
"194","11-008-0005","0","1"
"195","11-008-0006","0","1"
"196","11-009-0001","2","0"
"197","11-010-0004","0","1"
"198","11-010-0011","0","1"
"199","11-010-0016","0","1"
"200","11-010-0018","0","1"
"201","11-010-0021","0","1"
"202","11-010-0023","0","1"
"203","11-010-0030","0","1"
"204","11-011-0378","0","1"
"205","11-011-0581","0","1"
"206","11-011-0678","1","0"
"207","12-001-0069","0","1"
"208","12-003-0277","0","1"
"209","12-003-0782","0","1"
"210","12-003-1635","0","1"
"211","12-003-1684","0","1"
"212","12-004-0084","0","1"
"213","12-004-0115","0","1"
"214","12-005-0001","0","1"
"215","12-006-0001","0","1"
"216","12-008-0008","0","1"
"217","12-008-0010","1","1"
"218","12-008-0013","0","1"
"219","12-008-0015","0","1"
"220","12-008-0016","1","1"
"221","12-008-0023","1","1"
"222","12-008-0026","2","0"
"223","12-008-0028","1","1"
"224","12-008-0031","0","1"
"225","12-009-0008","1","1"
"226","12-009-0019","2","1"
"227","12-009-0026","1","0"
"228","12-009-0027","1","0"
"229","12-011-0037","0","1"
"230","12-011-0092","0","1"
"231","12-011-0147","0","1"
"232","12-011-0175","1","0"
"233","12-011-0180","1","0"
"234","12-011-0861","0","1"
"235","12-011-0905","0","1"
"236","12-011-0957","0","1"
"237","12-011-1009","0","1"
"238","12-011-1192","0","1"
"239","13-001-0041","1","0"
"240","13-001-0109","0","1"
"241","13-001-0265","0","1"
"242","13-003-0256","0","1"
"243","13-003-0882","0","1"
"244","13-003-0941","1","1"
"245","13-003-1054","0","1"
"246","13-003-1505","0","1"
"247","13-003-1577","0","1"
"248","13-004-0021","0","1"
"249","13-004-0154","0","1"
"250","13-005-0003","1","1"
"251","13-005-0004","1","1"
"252","13-005-0013","0","1"
"253","13-005-0015","1","0"
"254","13-005-0018","1","1"
"255","13-005-0020","1","1"
"256","13-006-0002","0","1"
"257","13-006-0003","1","0"
"258","13-006-0005","0","1"
"259","13-006-0006","0","1"
"260","13-006-0007","0","1"
"261","13-006-0009","0","1"
"262","13-006-0011","0","1"
"263","13-006-0012","0","1"
"264","13-006-0013","0","1"
"265","13-006-0015","0","1"
"266","13-006-0016","0","1"
"267","13-006-0018","0","1"
"268","13-006-0020","0","1"
"269","13-008-0003","2","1"
"270","13-008-0006","0","1"
"271","13-008-0011","1","1"
"272","13-008-0013","1","0"
"273","13-008-0014","0","1"
"274","13-008-0016","2","1"
"275","13-008-0025","0","1"
"276","13-008-0027","0","1"
"277","13-008-0029","0","1"
"278","13-008-0031","0","1"
"279","13-008-0032","2","1"
"280","13-010-0001","0","1"
"281","13-010-0009","0","1"
"282","13-010-0011","0","1"
"283","13-010-0013","0","1"
"284","13-010-0014","0","1"
"285","13-010-0015","1","0"
"286","13-010-0017","0","1"
"287","13-010-0018","0","1"
"288","13-010-0020","0","1"
"289","13-010-0027","0","1"
"290","13-010-0030","0","1"
"291","13-011-0075","0","1"
"292","13-011-0160","0","1"
"293","13-011-0237","0","1"
"294","13-011-0266","0","1"
"295","13-011-0289","1","1"
"296","13-011-0365","0","1"
"297","13-011-0370","0","1"
"298","13-011-0372","0","1"
"299","13-011-0496","0","1"
"300","13-011-0614","1","0"
"301","13-011-0731","0","1"
"302","13-011-0742","0","1"
"303","13-011-0778","0","1"
"304","13-011-0794","0","1"
"305","13-011-0863","0","1"
"306","13-011-0877","0","1"
"307","13-011-0893","0","1"
"308","13-011-0954","0","1"
"309","13-011-0975","0","1"
"310","13-011-0982","0","1"
"311","13-011-0999","0","1"
"312","14-002-0186","2","0"
"313","14-003-0321","0","1"
"314","14-003-1204","0","1"
"315","14-003-1270","0","1"
"316","14-003-1498","0","1"
"317","14-010-0002","1","1"
"318","14-011-0044","0","1"
"319","14-011-0073","0","1"
"320","14-011-0075","0","1"
"321","14-011-0086","0","1"
"322","14-011-0092","0","1"
"323","14-011-0104","0","1"
"324","14-011-0114","0","1"
"325","14-011-0130","0","1"
"326","14-011-0192","0","1"
"327","14-011-0209","0","1"
"328","14-011-0213","0","1"
"329","14-011-0239","0","1"
"330","14-011-0244","0","1"
"331","14-011-0275","0","1"
"332","14-011-0289","0","1"
"333","14-011-0293","0","1"
"334","14-011-0297","0","1"
"335","14-011-0313","0","1"
