"","Matricula","NC","C"
"1","01-000-0257","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","1","0"
"4","02-002-0344","0","1"
"5","03-003-0407","0","1"
"6","04-003-1658","0","1"
"7","06-003-0645","0","1"
"8","07-011-0523","0","1"
"9","07-011-0906","1","0"
"10","08-001-0054","0","1"
"11","08-003-1348","1","1"
"12","08-007-0002","0","1"
"13","09-003-0062","0","1"
"14","09-003-0695","0","1"
"15","11-003-0102","0","1"
"16","12-001-0208","0","1"
"17","12-011-0037","0","1"
"18","12-011-0399","0","1"
"19","12-011-0905","0","1"
"20","12-011-0957","0","1"
"21","13-010-0030","0","1"
"22","14-011-0394","0","1"
"23","18-011-0027","1","0"
