"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","0","1"
"4","04-003-1135","0","1"
"5","04-003-1244","1","1"
"6","04-003-1529","0","1"
"7","05-006-2844","1","0"
"8","06-003-1850","0","1"
"9","07-011-0085","0","1"
"10","07-011-0923","0","1"
"11","08-011-0532","0","1"
"12","08-011-0928","0","1"
"13","09-002-0168","1","0"
"14","10-003-0424","2","0"
"15","10-003-1164","0","1"
"16","10-005-0015","1","0"
"17","10-008-0010","1","1"
"18","11-002-0078","0","1"
"19","11-002-0082","0","1"
"20","11-004-0099","1","1"
"21","11-005-0004","1","0"
"22","11-005-0011","1","0"
"23","11-011-0581","1","1"
"24","12-001-0208","0","1"
"25","12-003-1259","2","1"
"26","12-004-0084","1","0"
"27","12-006-0001","0","1"
"28","12-008-0001","1","0"
"29","12-011-0037","0","1"
"30","13-005-0005","1","0"
"31","13-005-0013","2","1"
"32","13-005-0015","2","0"
"33","13-005-0020","1","0"
"34","13-006-0004","2","0"
"35","13-011-0349","1","1"
"36","13-011-0857","2","0"
"37","13-011-0982","0","1"
"38","14-003-0122","0","1"
"39","14-011-0314","1","0"
"40","14-011-0597","2","0"
"41","14-011-0713","0","1"
"42","14-011-0995","1","1"
"43","14-011-1146","1","1"
"44","15-001-0336","1","0"
"45","15-002-0089","0","1"
"46","15-003-0338","0","1"
