"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","1","0"
"4","03-003-0550","1","0"
"5","04-003-1135","1","0"
"6","04-003-1529","0","1"
"7","05-003-3233","2","1"
"8","06-003-0645","1","1"
"9","07-011-0085","0","1"
"10","07-011-0539","0","1"
"11","07-011-0906","1","1"
"12","07-011-0923","0","1"
"13","08-009-0017","2","1"
"14","08-011-0532","0","1"
"15","09-011-0242","0","1"
"16","10-011-0316","0","1"
"17","10-011-0570","0","1"
"18","11-004-0099","0","1"
"19","11-005-0003","0","1"
"20","11-011-0581","2","0"
"21","11-011-0678","1","1"
"22","12-003-0782","1","0"
"23","12-003-1259","0","1"
"24","12-009-0019","1","0"
"25","12-011-0037","0","1"
"26","12-011-0092","2","1"
"27","12-011-1009","2","1"
"28","13-003-0941","1","1"
"29","13-003-1054","2","1"
"30","13-003-1577","3","0"
"31","13-008-0029","0","1"
"32","13-010-0017","0","1"
"33","13-011-0349","1","0"
"34","13-011-0370","1","1"
"35","13-011-0372","1","0"
"36","13-011-0794","0","1"
"37","14-002-0186","1","0"
"38","14-003-1270","1","1"
"39","14-003-1498","0","1"
"40","14-011-0130","1","0"
"41","14-011-0297","0","1"
"42","14-011-0313","1","1"
"43","14-011-0374","2","1"
"44","14-011-0398","3","1"
"45","14-011-0408","0","1"
"46","14-011-0503","0","1"
"47","14-011-0597","1","0"
"48","14-011-0770","0","1"
"49","14-011-0790","3","1"
"50","14-011-0904","1","1"
"51","14-011-0921","0","1"
"52","14-011-0938","1","1"
"53","14-011-0995","1","1"
"54","15-001-0252","0","1"
"55","15-002-0070","1","1"
"56","15-003-0338","1","0"
