"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","0","1"
"4","03-003-0219","0","1"
"5","03-003-0550","0","1"
"6","04-003-1135","0","1"
"7","04-003-1244","0","1"
"8","04-003-1529","0","1"
"9","05-003-2140","0","1"
"10","05-003-3233","0","1"
"11","06-003-0645","2","1"
"12","06-003-1850","0","1"
"13","07-011-0085","0","1"
"14","07-011-0539","0","1"
"15","07-011-0923","0","1"
"16","08-011-0331","1","1"
"17","08-011-0532","0","1"
"18","09-008-0017","0","1"
"19","09-011-0242","0","1"
"20","10-003-1164","1","1"
"21","10-008-0008","1","0"
"22","10-011-0570","0","1"
"23","11-002-0078","0","1"
"24","11-005-0003","0","1"
"25","12-001-0208","0","1"
"26","12-003-1259","0","1"
"27","12-011-0037","0","1"
"28","13-003-1054","0","1"
"29","13-003-1577","1","0"
"30","13-005-0013","0","1"
"31","13-011-0349","1","1"
"32","14-003-1498","0","1"
"33","14-011-0137","1","0"
"34","14-011-0275","0","1"
"35","14-011-0297","0","1"
"36","14-011-0482","0","1"
"37","14-011-0597","2","1"
"38","14-011-0770","0","1"
"39","15-001-0252","0","1"
