"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","3","0"
"4","03-003-0550","0","1"
"5","04-003-1135","0","1"
"6","04-003-1244","0","1"
"7","04-003-1529","0","1"
"8","05-003-2140","0","1"
"9","05-003-3233","1","1"
"10","06-003-0645","0","1"
"11","07-011-0085","0","1"
"12","07-011-0539","0","1"
"13","07-011-0906","0","1"
"14","08-011-0331","1","1"
"15","08-011-0532","0","1"
"16","08-011-0928","0","1"
"17","09-002-0168","1","0"
"18","09-010-0021","1","1"
"19","09-011-0242","1","1"
"20","09-011-0299","1","0"
"21","10-003-1048","1","0"
"22","10-003-1164","0","1"
"23","10-005-0019","0","1"
"24","10-011-0316","0","1"
"25","10-011-0570","2","1"
"26","11-002-0078","0","1"
"27","11-002-0342","1","1"
"28","11-004-0099","0","1"
"29","11-005-0003","0","1"
"30","12-003-1259","0","1"
"31","12-004-0084","0","1"
"32","12-008-0026","1","0"
"33","12-011-0175","2","0"
"34","12-011-0180","2","0"
"35","13-001-0109","1","1"
"36","13-003-0941","1","1"
"37","13-003-1577","3","0"
"38","13-005-0013","2","1"
"39","13-008-0003","1","0"
"40","13-010-0014","0","1"
"41","13-011-0349","3","0"
"42","13-011-0372","1","0"
"43","13-011-0560","1","0"
"44","13-011-0794","0","1"
"45","13-011-0857","1","0"
"46","14-003-0380","0","1"
"47","14-003-1270","1","1"
"48","14-004-0013","1","0"
"49","14-011-0192","0","1"
"50","14-011-0239","0","1"
"51","14-011-0275","0","1"
"52","14-011-0297","1","1"
"53","14-011-0461","1","1"
"54","14-011-0503","0","1"
"55","14-011-0586","1","0"
"56","14-011-0770","3","1"
"57","14-011-0976","1","1"
"58","14-011-0995","2","1"
"59","14-011-1146","1","1"
"60","15-001-0252","2","1"
"61","15-001-0342","1","1"
"62","15-002-0070","1","1"
