"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","0","1"
"4","02-002-0344","0","1"
"5","03-003-0550","2","0"
"6","04-003-1135","0","1"
"7","04-003-1244","0","1"
"8","05-003-2140","2","0"
"9","05-003-3233","0","1"
"10","06-003-1850","0","1"
"11","07-011-0214","0","1"
"12","08-011-0331","2","1"
"13","10-003-1164","0","1"
"14","10-005-0015","1","0"
"15","10-005-0019","2","0"
"16","11-002-0078","1","0"
"17","11-002-0082","0","1"
"18","11-004-0099","4","0"
"19","12-011-0905","0","1"
"20","12-011-0957","0","1"
"21","12-011-1009","1","0"
"22","13-003-0941","0","1"
"23","13-004-0021","0","1"
"24","13-011-0237","0","1"
"25","13-011-0349","1","0"
"26","13-011-0857","2","0"
"27","13-011-0982","0","1"
"28","14-002-0186","1","0"
"29","14-003-0321","1","0"
"30","14-003-0380","1","0"
"31","14-003-1498","0","1"
"32","14-011-0213","1","1"
"33","14-011-0313","0","1"
"34","14-011-0408","2","0"
"35","14-011-0790","1","1"
"36","14-011-0904","1","1"
"37","14-011-0973","0","1"
"38","15-001-0336","1","1"
"39","15-003-0338","1","0"
