"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","0","1"
"4","03-003-0219","0","1"
"5","03-003-0550","1","0"
"6","04-003-1135","0","1"
"7","04-003-1244","0","1"
"8","04-003-1529","0","1"
"9","05-003-2140","1","0"
"10","05-003-3233","0","1"
"11","06-003-0645","1","1"
"12","06-003-1850","0","1"
"13","07-011-0085","0","1"
"14","07-011-0539","0","1"
"15","07-011-0906","0","1"
"16","08-011-0532","0","1"
"17","08-011-0908","1","1"
"18","09-010-0021","1","0"
"19","09-011-0242","2","1"
"20","10-003-1164","1","1"
"21","10-005-0019","0","1"
"22","10-011-0316","0","1"
"23","11-002-0078","1","0"
"24","11-004-0099","1","1"
"25","11-005-0003","0","1"
"26","12-003-1259","0","1"
"27","12-004-0084","1","1"
"28","12-008-0002","0","1"
"29","12-008-0020","1","0"
"30","13-001-0109","0","1"
"31","13-003-0941","0","1"
"32","13-011-0349","1","0"
"33","13-011-0857","0","1"
"34","14-003-0122","0","1"
"35","14-003-0380","0","1"
"36","14-011-0482","2","1"
"37","14-011-0597","3","0"
"38","14-011-0713","0","1"
"39","14-011-0770","0","1"
"40","14-011-0938","0","1"
"41","14-011-1104","1","0"
"42","15-001-0252","1","1"
"43","15-003-0338","0","1"
