"","Matricula","NC","C"
"1","02-001-0064","0","1"
"2","02-001-0200","0","1"
"3","02-001-0209","0","1"
"4","04-003-1135","0","1"
"5","04-003-1244","0","1"
"6","05-002-0012","1","0"
"7","05-003-3233","0","1"
"8","06-003-0645","1","1"
"9","07-011-0085","0","1"
"10","07-011-0539","0","1"
"11","07-011-0923","0","1"
"12","08-011-0532","0","1"
"13","08-011-0908","0","1"
"14","09-011-0242","0","1"
"15","10-003-1164","0","1"
"16","10-005-0019","0","1"
"17","10-009-0014","0","1"
"18","10-011-0316","1","1"
"19","11-005-0002","0","1"
"20","11-005-0003","0","1"
"21","11-011-0566","1","0"
"22","11-011-0678","0","1"
"23","12-001-0208","0","1"
"24","12-003-1259","1","0"
"25","12-004-0084","0","1"
"26","12-008-0002","0","1"
"27","12-008-0026","0","1"
"28","12-009-0019","1","0"
"29","12-009-0026","0","1"
"30","12-009-0027","1","0"
"31","12-011-0175","0","1"
"32","12-011-0180","0","1"
"33","12-011-1009","0","1"
"34","13-003-0882","1","0"
"35","13-003-0941","0","1"
"36","13-010-0014","0","1"
"37","13-010-0030","0","1"
"38","13-011-0742","0","1"
"39","13-011-0901","0","1"
"40","13-011-0975","0","1"
"41","14-003-1270","0","1"
"42","14-004-0013","0","1"
"43","14-011-0297","0","1"
"44","14-011-0313","0","1"
"45","14-011-0398","0","1"
"46","14-011-0408","0","1"
"47","14-011-0437","2","0"
"48","14-011-0461","0","1"
"49","14-011-0770","0","1"
"50","14-011-0904","0","1"
"51","14-011-0995","0","1"
"52","14-011-1104","1","0"
"53","14-011-1142","0","1"
"54","14-011-1146","0","1"
"55","15-001-0252","0","1"
"56","15-001-0342","0","1"
"57","15-002-0070","0","1"
"58","15-003-0338","0","1"
